Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
ADVENTIST HEALTH CLINIC,3128,,Doctor,General Practitioner,PSMAS,PSMAS Network,"SUITE 5 FOUNTAIN COURT, CNR PARK STREET & N NKRUMAH, HARARE",Cbd,Harare,24227523,773271634,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
AEDAN AMBULANCES,560146,,Ambulance Service,,PSMAS,PSMAS Network,"3810 NHORO ROAD, WINDSOR PARK, RUWA",Ruwa,Harare,0774967702,774472592,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: AMBULANCES | Imported from repository PSMAS Excel | Section: AMBULANCES
AEDEN HOSPITAL,500267,,Private Hospital,,PSMAS,PSMAS Network,3810 NHORO ROAD WINSOR PARK RUWA,Ruwa,Harare,,773159719,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
AEDEN PHARMACY,272183,,Pharmacy,,PSMAS,PSMAS Network,"3810 NHORO ROAD, OLD WINDSOR",Ruwa,Harare,0778201992,0787451689,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
AFEKI O F,70076,,Doctor,General Practitioner,PSMAS,PSMAS Network,157 CNR JOSIAH CHINAMANO AVENUE,Cbd,Harare,242753207,242753207,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: DENTISTS
AGAPE RENAL UNIT,50711,,Dialysis Centre,,PSMAS,PSMAS Network,64 SHUVAI MAHOFA STREET,Masvingo,Masvingo,392261863 / 718281840,392261863 / 718281840,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: HAEMODIALYSIS | Imported from repository PSMAS Excel | Section: HAEMODIALYSIS
ALDAVIS CLINIC,63452,,Clinic,,PSMAS,PSMAS Network,NEWTOWN,Kwekwe,Midlands,,775151236,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: COUNCIL CLINIC | Imported from repository PSMAS Excel | Section: COUNCIL CLINIC | Section: COUNCIL CLINIC | Section: COUNCIL CLINIC
ALL SAINTS CHILDREN'S HOME,503807,,Private Hospital,,PSMAS,PSMAS Network,"20 LINCOLN ROAD, HILLSIDE, BULAWAYO",Bulawayo,Bulawayo,,775237070,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
ALLINCE PHARMACY,272216,,Pharmacy,,PSMAS,PSMAS Network,"97 RG MUGABE WAY, ZVISHAVANE",Zvishavane,Midlands,392352564,392352564,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
ALLYMAC PHARMACY,273562,,Pharmacy,,PSMAS,PSMAS Network,SHOP 1 STAND 14042 BRUNDISH SHOPPING CENTRE,Makonde,,0672121428,776422807,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-WEST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-WEST-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
ALPHA MEDICAL,12378,,Doctor,General Practitioner,PSMAS,PSMAS Network,55-4TH STREET,Cbd,Manicaland,775262629,775262629,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
ALPHA MEDICAL CENTRE,11657,,Doctor,General Practitioner,PSMAS,PSMAS Network,2 GWATIDZO STREET MBARE,Mbare,Harare,776352836,781166657,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
AMAVENI CLINIC,63010,,Clinic,,PSMAS,PSMAS Network,AMAVENI,Kwekwe,Midlands,,783283016,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: COUNCIL CLINIC | Imported from repository PSMAS Excel | Section: COUNCIL CLINIC
AMBULANCE CARE &EVACUATION,566635,,Ambulance Service,,PSMAS,PSMAS Network,"52 BAINES AVENUE, HARARE",Cbd,Harare,242795332,772929772,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: AMBULANCE SERVICE PROVIDERS | Imported from repository PSMAS Excel | Section: AMBULANCE SERVICE PROVIDERS
AMIT IMAGING,460583,,Radiology Centre,Radiology,PSMAS,PSMAS Network,127 MBUYA NEHANDA,Cbd,Harare,,779431193 / 717971277,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: PHARMACIES
AMPATH LABORATORIES,290238,,Laboratory,,PSMAS,PSMAS Network,"3A MUPANI ROAD, OLD MARIMBA MUFAKOSE",Mufakose,Harare,242681055,772992553,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
AMS MEDICAL LABORATORIES,290327,,Laboratory,,PSMAS,PSMAS Network,SHOP NO.5 3788 SAN SOUCI OLD,Ruwa,Harare,,778842770,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
ANGWA DENTAL CLINIC,80339,,Dentist,Dentistry,PSMAS,,4,,,,786519915,,,,,,https://psmas.co.zw/view-download-provider-list/,PSMAS Provider Network List (Excel),2026-07-27,Imported from repository PSMAS Excel
ANORLD MUBAIWA,579896,,Doctor,Anaesthetist,PSMAS,PSMAS Network,GWANDA HOSPITAL BOX 125 GWANDA,Gwanda,Matabeleland South,,773250433,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: NURSE ANAESTHETISTS
ANOSIMUDZA PSYCHOLOGICAL SERVICES,140376,,Rehabilitation Centre,Physiotherapy,PSMAS,PSMAS Network,"4 CUBA AVENUE, MT PLEASANT",Mt Pleasant,Harare,,775264389,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHYSIOTHERAPY | Imported from repository PSMAS Excel | Section: PHYSIOTHERAPY
APEX DENTAL,48024,,Dentist,Dentistry,PSMAS,PSMAS Network,"58 6TH STREET, GWERU",Gweru,Midlands,0542300960,0542300960,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
APEX MEDICAL CENTRE,13765,,Doctor,General Practitioner,PSMAS,PSMAS Network,"461 MOSES ZUVA COMPLEX, SHURUGWI",Shurugwi,Midlands,,714621994,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONER
APEX MEDICAL LABORATORY,450448,,Laboratory,,PSMAS,PSMAS Network,"1 SWISSWAY, HARARE HOSPITAL GROUNDS, SOUTHERTON",Southerton,Harare,242663510,772243104,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
APEX PHARMACY,279344,,Doctor,General Practitioner,PSMAS,PSMAS Network,"#3 ELIZABETH MANSIONS, GWERU",Gweru,Midlands,542228168,777029311,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: PHARMACIES
APEX PHARMACY-RONETHIA INVESTMENTS,279251,,Pharmacy,,PSMAS,PSMAS Network,STAND 14663 DAMAFALLS PHASE 1 RUWA,Ruwa,Harare,,784496099 / 773390358,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
APEX RADIOLOGY,460468,,Radiology Centre,Radiology,PSMAS,PSMAS Network,43 4TH STREET PARADISE PARK,Marondera,Mashonaland East,,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
APOC MEDICAL CLINIC,13536,,Doctor,General Practitioner,PSMAS,PSMAS Network,"SHOP 5 LONG CHEN PLAZA, BELVEDERE",Belvedere,Harare,773469545,715054422,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: LABORATORY
APOTHECA PHARMACY,270709,,Occupational Health Clinic,,PSMAS,PSMAS Network,710 HIGHGLEN ROAD,Willowvale,Harare,,772390343 / 775749559,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: WELLNESS PROVIDERS | Imported from repository PSMAS Excel | Section: PHARMACIES
ARCADE PHARMACY,86002,,Dentist,Dentistry,PSMAS,PSMAS Network,OK MAIN STREET ARCADE,Cbd,Manicaland,202061519,78322536901,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: DENTAL | Imported from repository PSMAS Excel | Section: PHARMACIES
ARCADIA,50008,,Private Hospital,,PSMAS,PSMAS Network,2A BARDIA ROAD ARCADIA,Harare,Harare,86772120,780380121,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
ARCMED DIAGNOSTIC,699647,,Radiology Centre,Radiology,PSMAS,PSMAS Network,CORNER 2ND & 3RD STREET,Kwekwe,Midlands,552520543,773982543,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
ARDBENNIE PHARMACY,42662,,Pharmacy,,PSMAS,PSMAS Network,1 BOSHOFF DRIVE ARDBENNIE,Ardbennie,Harare,86440974472,772854898,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES | Section: PHARMACIES | Section: PHARMACIES
ARIEDEM HEALTHCARE,460885,,Radiology Centre,Radiology,PSMAS,PSMAS Network,10004 ST MARY'S CHITUNGWIZA,Chitungwiza,Harare,713904644,777443386,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/PSMAS-PROVIDER-NETWORK-LIST-07-26.pdf,PSMAS Provider Network PDF - PSMAS-PROVIDER-NETWORK-LIST-07-26,2026-07-27,Section: RADIOLOGY | Section: AMBULANCES | Imported from repository PSMAS Excel
ASCLEPIUS MEDICAL CENTRE,12661,,Doctor,General Practitioner,PSMAS,PSMAS Network,212 WILLOW CREEK GOODHOPE,Goodhope,Harare,,786992662,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
ASPIRED HEALTH,22402,,Doctor,General Practitioner,PSMAS,PSMAS Network,135 KWAME NKRUMAH,Cbd,Harare,242254816,713069103,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
ASSIST RADIOLOGY SOLUTIONS,460907,,Radiology Centre,Radiology,PSMAS,PSMAS Network,"SHOP P1-5 SOUTHWIND SHOPS, WATERFALLS",Waterfalls,Harare,774871779,776562622,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
AUDIOMAX,83008,,Doctor,Specialist,PSMAS,PSMAS Network,93 BAINES AVENUE HARARE,Milton Park,Harare,242700249 / 704002,772325437,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: SPECIALIST SERVICES -ECG | Imported from repository PSMAS Excel | Section: SPECIALIST SERVICES -ECG
AVASET PHARMACY,273937,,Pharmacy,,PSMAS,PSMAS Network,1587 CHIWARIDZO,Bindura,Mashonaland Central,,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
AVENUES CLINIC,50083,,Private Hospital,,PSMAS,PSMAS Network,MAZOWE & BAINES AVENUE,Harare,Harare,242770367,242770367,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
AVENUES CLINIC LABORATORY,290041,,Laboratory,,PSMAS,PSMAS Network,139 JOSIAH CHINAMANO AVE,Avenues,Harare,242700216,8644290795,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
B.T.MUROVE,187114,,Doctor,Surgeon,PSMAS,PSMAS Network,SUITE 2 OAKS BUILDING BTWN J.TONGOG CBD,Cbd,Bulawayo,,772104168,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: GENERAL SURGEON | Imported from repository PSMAS Excel | Section: GENERAL SURGEON
BAINES AVENUE,50032,,Private Hospital,,PSMAS,PSMAS Network,66 BAINES AVENUE,Harare,Harare,242778050,772977440,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
BAINES IMAGING GROUP,31135,,Radiology Centre,Radiology,PSMAS,PSMAS Network,52 BAINES AVE HARARE,Cbd,Harare,242795332,772929772,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BAINES IMAGING GROUP,28053,,Radiology Centre,Radiology,PSMAS,PSMAS Network,AVENUES CLINIC,Cbd,Harare,242795332,8677000269,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BAINES IMAGING GROUP,28023,,Radiology Centre,Radiology,PSMAS,PSMAS Network,52 BAINES AV /CNR L TAKAWIRA H,Cbd,Harare,242795332,8677000269,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BAINES IMAGING GROUP,28541,,Radiology Centre,Radiology,PSMAS,PSMAS Network,52 BAINES AVE HARARE,Cbd,Harare,242795332,8677000269,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BAINES IMAGING GROUP MUTARE,31143,,Radiology Centre,Radiology,PSMAS,PSMAS Network,GROUND FLOOR OLD SASU BUILDING,Cbd,Manicaland,,202060764,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BAINES INTERCARE,505000,,Private Hospital,,PSMAS,PSMAS Network,15 BAINES AVENUE,Harare,Harare,8677009078,773101828,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
BAINES PHARMACY,273636,,Dentist,Dentistry,PSMAS,PSMAS Network,"20 MIMOSA FLATS, 19 BAINES AVENUE",Avenues,Harare,242250308,778195848,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTISTS | Imported from repository PSMAS Excel | Section: PHARMACIES
BALM OF GILEAD,702370,,Dentist,Dentistry,PSMAS,PSMAS Network,59 J TONGOGARA ST,Bulawayo,Bulawayo,2262660,719262660,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
BAMU,67962,,Doctor,Anaesthetist,PSMAS,PSMAS Network,CHIPADZE STREET,Bindura,Mashonaland Central,,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: NURSE ANAESTHETIST | Imported from repository PSMAS Excel | Section: NURSE ANAESTHETIST
